id,title,original_title,overview,original_language,adult,popularity,release_date,vote_average,vote_count
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,en,False,1844.5946,2026-07-29,7.9,1077.0
1368337,The Odyssey,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",en,False,902.0933,2026-07-15,7.96,2286.0
1212763,Evil Dead Burn,Evil Dead Burn,"After her husband's abrupt death, Alice seeks solace with his remaining family — descendants of a leading researcher on demonic possession. As her in-laws transform one by one into creatures that feed on fear, she comes to discover that the vows she took in life survive even in death.",en,False,190.8269,2026-07-07,7.897,565.0
1081003,Supergirl,Supergirl,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",en,False,455.6774,2026-06-24,6.7,1588.0
1339713,Obsession,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",en,False,351.4292,2026-05-13,8.228,4317.0
1083381,Backrooms,Backrooms,A strange doorway appears in the basement of a furniture showroom.,en,False,225.3671,2026-05-27,7.103,2552.0
1477712,Ice Cream Man,Ice Cream Man,An idyllic summer town descends into madness when an ice cream man serves kids sweet delights with horrifying results.,en,False,24.6284,2026-08-03,5.5,10.0
1307118,Soulm8te,Soulm8te,"After a ruthless tech giant acquires a small robotics company, a grieving engineer is tasked with testing their new AI companion. But when he attempts to reprogram her to be a truly sentient soulmate, she develops needs of her own—unleashing a relentless spree of precision-engineered mayhem.",en,False,143.7806,2026-07-31,6.529,52.0
1594914,Lucky Strike,Lucky Strike,"A wounded American soldier fights to survive behind enemy lines during WWII's Battle of the Bulge against the Germans, relying on his instinct, spy craft and a hand-radio to evade capture and find his way back to his unit.",en,False,37.0194,2026-06-26,7.4,14.0
1275779,Disclosure Day,Disclosure Day,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding.",en,False,356.1277,2026-06-10,7.42,2430.0
